iter	Logloss
0	0.6868589483
1	0.6805033985
2	0.674519002
3	0.6683545562
4	0.6621545506
5	0.6560588721
6	0.6499922808
7	0.6440728528
8	0.6385510087
9	0.6323623119
10	0.625946051
11	0.6211796043
12	0.6157230718
13	0.6115376813
14	0.6068000893
15	0.6012000355
16	0.5969669803
17	0.5917950929
18	0.5888695825
19	0.584215393
20	0.5791115284
21	0.5744434228
22	0.5696952453
23	0.5644672066
24	0.5594442775
25	0.554893301
26	0.5502913265
27	0.5459191875
28	0.5416698118
29	0.538705241
30	0.5349805798
31	0.5309765661
32	0.5269915525
33	0.5232501344
34	0.5190061749
35	0.5144218437
36	0.5109166726
37	0.5074865351
38	0.5045133075
39	0.5010208944
40	0.4981217689
41	0.4940894936
42	0.4908671889
43	0.4876491626
44	0.4844130317
45	0.4810582173
46	0.4773305951
47	0.4738823183
48	0.4706366039
49	0.4678374253
50	0.4648859597
51	0.4617594979
52	0.4584884393
53	0.4556834449
54	0.4532143793
55	0.4507212983
56	0.4477055557
57	0.4452852809
58	0.4433651362
59	0.4408009396
60	0.4383561467
61	0.4357602935
62	0.4332148545
63	0.431076632
64	0.4292045597
65	0.4267227727
66	0.4242940903
67	0.421794771
68	0.4192550205
69	0.4173591729
70	0.4151460319
71	0.4135229404
72	0.4118207662
73	0.4097567729
74	0.4078501013
75	0.4053869264
76	0.4033585606
77	0.4011032243
78	0.3994395205
79	0.397025942
80	0.3952711418
81	0.3934286719
82	0.3915561167
83	0.3893724924
84	0.3877559207
85	0.3858110293
86	0.3837494402
87	0.3816749805
88	0.3794837831
89	0.3778725075
90	0.3764914585
91	0.3747906972
92	0.3732893068
93	0.3720149415
94	0.3699240499
95	0.3682629245
96	0.3664417577
97	0.3645203466
98	0.3627740886
99	0.3612430339
100	0.3595290183
101	0.3577827526
102	0.3568611065
103	0.3555120732
104	0.3535949453
105	0.3523460703
106	0.3504001648
107	0.3484488063
108	0.3466917004
109	0.345587053
110	0.3444476928
111	0.3434463224
112	0.3423137064
113	0.3411406042
114	0.3396095082
115	0.3384610222
116	0.3372517609
117	0.336422836
118	0.3344916513
119	0.3331625356
120	0.3318329425
121	0.330606353
122	0.3297243915
123	0.3288771189
124	0.3275635108
125	0.326106059
126	0.3246039865
127	0.3233094026
128	0.3218556071
129	0.3203411842
130	0.3192580293
131	0.3175866129
132	0.3162419616
133	0.3150533811
134	0.3136498074
135	0.3126656706
136	0.31181758
137	0.3108070843
138	0.3096263324
139	0.3082349331
140	0.3071727785
141	0.3059987499
142	0.3047918259
143	0.303645672
